어휘,길잡이말,품사,
영국,나라,명사,
영수증,을 받다,명사,
영어,언어,명사,
영하,로 떨어지다,명사,
영화,를 보다,명사,
영화관,에 가다,명사,
영화배우,직업,명사,
옆,오른쪽 옆,명사,
옆집,에 살다,명사,
예,대답,감탄사,
예매,영화표 예매,명사,
예쁘다,얼굴이,형용사,
예순,숫자,수사·관형사,
예술,예술 작품,명사,
예습,복습,명사,
예약,호텔 예약,명사,
옛,옛 친구,관형사,
옛날,먼 옛날,명사,
오,숫자,수사·관형사,
오늘,시간,부사/명사,
오다,한국에,동사,
오래,오래 쓰다,부사,
오래간만,오래간만에 만나다,명사,
오래되다,집이 ,형용사,
오랜만,오랜만에 만나다,명사,
오랫동안,오랫동안 사귀다,명사,
오렌지,과일,명사,
오르다,값이,동사,
오른손,왼손,명사,
오른쪽,왼쪽,명사,
오빠,가족,명사,
오십,숫자,수사/관형사,
오월,달(월),명사,
오이,채소,명사,
오전,오후,명사,
오후,오전,명사,
온도,가 높다,명사,
올라가다,나무에,동사,
올라오다,산에,동사,
올리다,값을,동사,
올림,편지,명사,
올림픽,올림픽 경기,명사,
올해,시간,명사,
옳다,생각이,형용사,
옷,을 입다,명사,
옷걸이,에 걸다,명사,
옷장,에 넣다,명사,
와,"와, 정말 반갑다",감탄사,
와이셔츠,를 입다,명사,
완전히,완전히 끝나다,부사,
왕,이 되다,명사,
왜,왜 그래?,부사,
왜냐하면,−,부사,
외국,에 가다,명사,
외국어,로 말하다,명사,
외국인,을 만나다,명사,
외롭다,삶이,형용사,
외우다,단어를,동사,
외출,을 준비하다,명사,
왼손,오른손,명사,
왼쪽,오른쪽,명사,
요금,전화 요금,명사,
요리,방법,명사,
요리사,직업,명사,
요일,시간,명사,
요즘,시간,명사,
우동,을 먹다,명사,
우리,우리 가족,대명사,
우리나라,우리나라 사람,명사,
우산,을 쓰다,명사,
우선,먼저,부사,
우유,를 마시다,명사,
우체국,에 가다,명사,
우표,를 붙이다,명사,
운동,운동 시설,명사,
운동복,을 입다,명사,
운동장,을 뛰다,명사,
운동화,를 신다,명사,
운전,초보 운전,명사,
운전사,직업,명사,
울다,아기가,동사,
울산,도시,명사,
울음,을 그치다,명사,
움직이다,몸을,동사,
웃다,활짝 웃다,동사,
웃음,이 나다,명사,
원,천 원,의존명사,
원피스,를 입다,명사,
원하다,도움을 ,동사,
월,몇 월,명사/의존명사,
월급,을 받다,명사,
월요일,요일,명사,
위,아래,명사,
위쪽,을 향하다,명사,
위치,를 정하다,명사,
위험,이 닥치다,명사,
유리,가 깨지다,명사,
유명,유명 가수,명사,
유월,달(월),명사,
유치원,에 입학하다,명사,
유학,을 가다,명사,
유학생,유학생 신분,명사,
유행,을 따르다,명사,
육,숫자,수사/관형사,
육교,를 건너다,명사,
육십,숫자,수사/관형사,
윷놀이,를 하다,명사,
은행,에 입금하다,명사,
음,"음, 그럴 듯하다",감탄사,
음료,를 마시다,명사,
음료수,물,명사,
음식,을 먹다,명사,
음식점,에서 식사하다,명사,
음악,을 듣다,명사,
음악가,가 연주하다,명사,
응,대답,감탄사,
의미,가 있다,명사,
의사,치과 의사,명사,
의자,에 앉다,명사,
이,를 닦다,명사,
이,"그, 저 ",대명사/관형사,
이,둘 ,수사/관형사,
이거,이것,대명사,
이것,−,대명사,
이곳,장소,대명사,
이기다,경기에서,동사,
이날,이날 공연,명사,
이다,책이다,조사,
이따가,이따가 가다,부사,
이때,를 놓치다,명사,
이런,이런 일,관형사,
이렇다,결과가,형용사,
이르다,빠르다,형용사,
이름,을 묻다,명사,
이마,신체,명사,
이모,친척,명사,
이미,이미 끝나다,부사,
이번,이번 주,명사,
이분,그분,대명사,
이불,을 덮다,명사,
이사,를 가다,명사,
이삿짐,을 싸다,명사,
이상,한 시간 이상,명사,
이상,이상 기온,명사,
이십,숫자,수사/관형사,
이야기,를 들려주다,명사,
이용,이 많다,명사,
이웃,이웃 나라,명사,
이월,달(월),명사,
이유,를 묻다,명사,
이전,이전의 경험,명사,
이제,이제부터,명사/부사,
이쪽,으로 향하다,대명사,
이틀,이 지나다,명사,
이해,가 쉽다,명사,
이후,이후의 삶,명사,
익다,과일이 ,동사,
익숙하다,기계에,형용사,
인기,가 많다,명사,
인도네시아,나라,명사,
인분,삼 인분,의존명사,
인사,아침 인사,명사,
인삼,을 달이다,명사,
인정받다,능력을,동사,
인천,지명,명사,
인터넷,에 접속하다,명사,
인형,인형 놀이,명사,
일,이 쌓이다,명사,
일,숫자,수사/관형사,
일,삼 일,명사/의존명사,
일곱,숫자,수사/관형사,
일기,를 쓰다,명사,
일본,나라,명사,
일부,일부 지역,명사,
일식,음식,명사,
일식집,에서 먹다,명사,
일어나다,일찍 일어나다,동사,
일어서다,자리에서 ,동사,
일요일,요일,명사,
일월,달(월),명사,
일주일,이 걸리다,명사,
일찍,일찍 일어나다,부사,
일흔,숫자,수사·관형사,
읽다,책을,동사,
잃다,물건을,동사,
잃어버리다,물건을 ,동사,
입,을 열다,명사,
입구,지하철,명사,
입다,옷을,동사,
입술,신체,명사,
입원,입원 환자,명사,
입장권,을 사다,명사,
입학,대학 입학,명사,
입학시험,에 합격하다,명사,
있다,집에,동사/형용사,
잊다,번호를,동사,
잊어버리다,번호를,동사,
잎,이 떨어지다,명사,
자기소개,를 하다,명사,
자꾸,자꾸 반복하다,부사,
자다,잠을,동사,
자동차,를 운전하다,명사,
자동판매기,를 누르다,명사,
자라다,나무가,동사,
자랑,을 하다,명사,
자르다,머리를,동사,
자리,에 앉다,명사,
자세히,자세히 알다,부사,
자식,을 기르다,명사,
자신,나 자신,명사,
자연,으로 돌아가다,명사/부사,
자유,를 누리다,명사,
자장면,음식,명사,
자전거,를 타다,명사,
자주,자주 만나다,부사,
자판기,커피 자판기,명사,
작년,시간,명사,
작다,얼굴이,형용사,
잔,커피 잔,명사,
잔치,생일 잔치,명사,
잘,잘 알다,부사,
잘되다,일이,동사,
잘못,이 많다,부사/명사,
잘못되다,순서가,동사,
잘못하다,선택을,동사,
잘생기다,얼굴이,형용사,
잘하다,외국어를,동사,
잠,을 자다,명사,
잠깐,잠깐 기다리다,부사/명사,
잠시,잠시 기다리다,부사/명사,
잠자다,새근새근 잠자다,동사,
잡다,손을,동사,
잡수시다,진지를,동사,
잡지,를 보다,명사,
잡채,음식,명사,
장,한 장,의존명사,
장갑,을 끼다,명사,
장난감,을 가지고 놀다,명사,
장마,가 오다,명사,
장미,꽃,명사,
장소,를 정하다,명사,
재료,를 준비하다,명사,
재미,가 있다,명사,
재미없다,이야기가,형용사,
재미있다,이야기가,형용사,
재채기,가 나오다,명사,
저,사람(인칭),대명사,
저,이도 저도,대명사/관형사,
저,"저, 있잖아요.",감탄사,
저거,저것,대명사,
저것,−,대명사,
저곳,장소,대명사,
저금,을 하다,명사,
저기,장소,대명사,
저녁,이 되다,명사,
저런,그런,관형사,
저렇다,−,형용사,
저번,저번 주,명사,
저분,이분,대명사,
저쪽,방향,대명사,
저희,저희 회사,대명사,
적다,이름을,동사,
적다,양이,형용사,
적당하다,가격이 ,형용사,
전,전 세계,관형사,
전,오래 전,명사/관형사,
전공,을 결정하다,명사,
전기,가 끊기다,명사,
전부,전부 모이다,명사/부사,
전철,을 타다,명사,
전체,전체 국민,명사,
전하다,편지를,동사,
전혀,전혀 모르다,부사,
전화,를 걸다,명사,
전화기,가 울리다,명사,
전화번호,를 묻다,명사,
젊다,나이가,형용사,
점수,가 높다,명사,
점심,에 만나다,명사,
점심때,가 되다,명사,
점심시간,이 되다,명사,
점점,점점 추워지다,부사,
접다,종이를,동사,
접시,에 담다,명사,
젓가락,을 쓰다,명사,
정거장,버스 정거장,명사,
정도,어느 정도,명사,
정류장,버스 정류장,명사,
정리,책상 정리,명사,
정말,정말 좋다,명사/부사,
정문,으로 다니다,명사,
정신없이,정신없이 일하다,부사,
정원,을 가꾸다,명사,
정하다,약속을 ,동사,
정형외과,에서 치료하다,명사,
정확,발음이,명사,
젖다,옷이 ,동사,
제,사람(인칭),대명사,
제목,을 짓다,명사,
제일,제일 좋아하다,명사/부사,
제주도,지명,명사,
조금,조금 먹다,명사/부사,
조금씩,조금씩 가다,부사,
조심,운전 조심,명사,
조용하다,집이 ,형용사,
조용히,조용히 말하다,부사,
조카,가족,명사,
졸다,깜빡 졸다,동사,
졸업,입학,명사,
좀,좀 비싸다,부사,
좁다,방이,형용사,
종류,가 다양하다,명사,
종업원,직업,명사,
종이,에 쓰다,명사,
좋다,날씨가,형용사,
좋아하다,꽃을,동사,
죄송하다,마음이,형용사,
주,이번 주 ,의존명사/명사,
주다,선물을 ,동사,
주로,주로 말하다,부사,
주말,을 보내다,명사,
주머니,에 넣다,명사,
주무시다,잠을,동사,
주문,을 받다,명사,
주변,주변 환경,명사,
주부,로 살다,명사,
주사,를 맞다,명사,
주소,를 적다,명사,
주스,를 마시다,명사,
주위,눈 주위,명사,
주인,가게 주인,명사,
주일,이번 주일,명사/의존명사,
주차,주차 위반,명사,
주차장,에 세우다,명사,
주황색,색깔,명사,
죽다,사람이,동사,
준비,출근 준비,명사,
줄,을 감다,명사,
줄다,크기가 ,동사,
줄이다,소리를,동사,
줍다,쓰레기를,동사,
중,회의 중,의존명사,
중간,집과 학교의 중간,명사,
중국,나라 ,명사,
중국집,에 주문하다,명사,
중심,서울의 중심,명사,
중앙,무대 중앙,명사,
중요,중요 자료,명사,
중학교,에 입학하다,명사,
중학생,이 되다,명사,
즐거워하다,매우 즐거워하다,동사,
즐겁다,마음이,형용사,
즐기다,휴가를 ,동사,
지각,을 하다,명사,
지갑,에 넣다,명사,
지금,지금부터 ,명사/부사,
지나가다,시간이,동사,
지나다,시간이,동사,
지난달,시간,명사,
지난번,시간,명사,
지난주,시간,명사,
지난해,시간,명사,
지내다,잘 지내다,동사,
지다,경기에서,동사,
지도,를 보다,명사,
지루하다,수업이,형용사,
지르다,소리를,동사,
지방,남쪽 지방,명사,
지우개,로 지우다,명사,
지우다,지우개로,동사,
지키다,나라를,동사,
지하,로 내려가다,명사,
지하도,를 건너다,명사,
지하철,을 타다,명사,
지하철역,에 도착하다,명사,
직업,을 구하다,명사,
직원,을 모집하다,명사,
직장,에 다니다,명사,
직접,직접 만나다,명사/부사,
진짜,진짜 괜찮다,명사/부사,
진하다,안개가,형용사,
질문,에 답하다,명사,
짐,을 싸다,명사,
집,에 살다,명사,
집들이,에 초대하다,명사,
집안일,을 보다,명사,
짓다,집을,동사,
짜다,맛이,형용사,
짜증,을 내다,명사,
짝,을 맞추다,명사,
짧다,다리가,형용사,
짬뽕,음식,명사,
쪽,방향,의존명사,
찌개,를 끓이다,명사,
찌다,살이,동사,
찌다,감자를,동사,
찍다,도장을,동사,
차,자동차,명사,
차,를 마시다,명사,
차갑다,물이,형용사,
차다,공간이,동사,
차다,공을,동사,
차다,시계를,동사,
차다,바람이,형용사,
차례,지키다,명사,
착하다,마음이,형용사,
찬물,을 마시다,명사,
참,참 좋다,부사,
참다,기침을,동사,
참외,과일,명사,
창문,을 열다,명사,
찾다,지갑을,동사,
찾아가다,교실로,동사,
찾아보다,수첩을,동사,
찾아오다,손님이,동사,
채소,를 먹다,명사,
책,을 읽다,명사,
책상,가구,명사,
책장,가구,명사,
처음,처음 시작하다,명사,
천,숫자,수사·관형사,
천만,숫자,수사·관형사/명사/부사,
천천히,천천히 가다,부사,
첫,첫 만남,관형사,
첫날,새해 첫날,명사,
첫째,첫째 시간,수사·관형사/명사,
청년,젊은 청년,명사,
청바지,를 입다,명사,
청소,화장실 청소,명사,
청소년,청소년 시절,명사,
체육관,실내 체육관,명사,
체크무늬,체크무늬 남방,명사,
쳐다보다,하늘을,동사,
초,초기,의존명사,
초,시간,의존명사,
초대,를 하다,명사,
초대장,을 보내다,명사,
초등학교,에 입학하다,명사,
초등학생,이 되다,명사,
초록색,색깔,명사,
초콜릿,을 먹다,명사,
최고,최고 점수,명사,
최근,에 들다,명사,
추다,춤을,동사,
추석,명절,명사,
축구,운동,명사,
축구공,을 차다,명사,
축하,축하 파티,명사,
출구,로 나가다,명사,
출근,퇴근,명사,
출발,도착,명사,
출석,을 부르다,명사,
출입,을 통제하다,명사,
출입국,출입국 사무소,명사,
출장,을 가다,명사,
출퇴근,을 하다,명사,
춤,을 추다,명사,
춤추다,가수들이,동사,
춥다,날씨가,형용사,
충분하다,시간이,형용사,
취미,취미 생활,명사,
취소,예약 취소,명사,
취직,이 되다,명사,
층,층 건물,명사,
치과,병원,명사,
치다,책상을,동사,
치료,를 받다,명사,
치마,를 입다,명사,
치약,을 짜다,명사,
치킨,음식,명사,
친구,를 만나다,명사,
친절,로 대하다,명사,
친척,이 모이다,명사,
친하다,친구와,형용사,
칠,숫자,수사/관형사,
칠십,숫자,수사/관형사,
칠월,달(월),명사,
칠판,에 쓰다,명사,
침대,가구,명사,
침실,에서 자다,명사,
칫솔,로 이를 닦다,명사,
칭찬,을 듣다,명사,
카드,를 쓰다,명사,
카레,음식,명사,
카메라,로 찍다,명사,
카페,에서 만나다,명사,
칼,로 자르다,명사,
칼국수,음식,명사,
캐나다,나라,명사,
커피,를 마시다,명사,
커피숍,에서 만나다,명사,
컴퓨터,컴퓨터 게임,명사,
컵,을 닦다,명사,
케이크,를 먹다,명사,
켜다,불을,동사,
켜다,바이올린을,동사,
켤레,한 켤레,의존명사,
코,가 높다,명사,
코끼리,동물,명사,
콘서트,를 보다,명사,
콜라,를 마시다,명사,
콧물,이 나오다,명사,
콩,식물,명사,
크기,가 크다,명사,
크다,크기가 ,형용사/동사,
크리스마스,크리스마스 트리,명사,
큰소리,가 들리다,명사,
키,키가 큰 사람,명사,
키우다,강아지를,동사,
킬로그램,단위,의존명사,
킬로미터,단위,의존명사,
타다,불에,동사,
타다,차에,동사,
타다,커피를,동사,
탁구,를 치다,명사,
탕수육,음식,명사,
태국,나라,명사,
태권도,를 배우다,명사,
태극기,를 달다,명사,
태도,가 좋다,명사,
태어나다,아이가,동사,
태풍,이 불다,명사,
택배,로 보내다,명사,
택시,를 타다,명사,
터미널,에서 내리다,명사,
테니스,를 치다,명사,
테니스장,에서 연습핟,명사,
테이블,에 놓다,명사,
텔레비전,을 보다,명사,
토끼,동물,명사,
토마토,채소,명사,
토요일,요일,명사,
통장,을 만들다,명사,
통화,전화 통화,명사,
퇴근,출근,명사,
퇴원,퇴원 수속,명사,
튀기다,기름에,동사,
튀김,을 먹다,명사,
트럭,을 타다,명사,
특별하다,관심이,형용사,
특별히,특별히 좋아하다,부사,
특히,특히 좋아하다,부사,
튼튼하다,몸이,형용사,
틀다,텔레비전을,동사,
틀리다,답이,동사,
티셔츠,를 입다,명사,
팀,을 이루다,명사,
파란색,색깔,명사,
파랗다,하늘이,형용사,
파티,를 열다,명사,
팔,신체,명사,
팔,숫자,수사/관형사,
팔다,책을,동사,
팔리다,물건이,동사,
팔십,숫자,수사/관형사,
팔월,달(월),명사,
펴다,책을,동사,
편리,고객의 편리,명사,
편안,을 바라다,명사,
편의점,에서 사다,명사,
편지,를 쓰다,명사,
편찮다,할아버지께서,형용사,
편하다,마음이,형용사,
평소,와 같다,명사,
평일,주말,명사,
포도,과일,명사,
포장,선물 포장,명사,
표,를 끊다,명사,
푸르다,나무가,형용사,
푹,푹 자다,부사,
풀다,나사를,동사,
풍경,을 보다,명사,
프라이팬,에 볶다,명사,
프랑스,나라,명사,
프로그램,교육 프로그램,명사,
피,를 흘리다,명사,
피곤,에 지치다,명사,
피다,꽃이,동사,
피아노,를 치다,명사,
피우다,꽃을,동사,
피자,를 주문하다,명사,
필요,를 충족하다,명사,
필통,에 넣다,명사,
하나,숫자,수사/명사,
하늘,이 높다,명사,
하늘색,색깔,명사,
하다,운동을,동사,
-하다,건강하다,접사,
하루,를 보내다,명사,
하숙비,를 내다,명사,
하숙집,에 묵다,명사,
하얀색,색깔,명사,
하얗다,눈이,형용사,
하지만,−,부사,
학교,에 다니다,명사,
학기,가 시작되다,명사,
학년,새 학년,명사,
학생,을 가르치다,명사,
학생증,을 제시하다,명사,
학원,영어 학원,명사,
한,한 명,관형사,
한가하다,마음이,형용사,
한강,지명,명사,
한국,나라,명사,
한글,을 쓰다,명사,
한두,한두 명,관형사,
한번,한번 해 보다,명사/부사,
한복,을 입다,명사,
한식,을 먹다,명사,
한식집,음식점,명사,
한옥,에 살다,명사,
한잔,한잔 마시다,명사,
한턱,을 내다,명사,
할머니,가족,명사,
할아버지,가족,명사,
할인,할인 가격,명사,
함께,함께 놀다,부사,
항공,항공 운항,명사,
항공권,을 예약하다,명사,
항상,항상 같다,부사,
해,가 뜨다,명사/의존명사,
해마다,해마다 만나다,부사,
해외,에 수출하다,명사,
해외여행,을 가다,명사,
햄버거,를 먹다,명사,
햇빛,이 비치다,명사,
행동,에 옮기다,명사,
행복,을 빌다,명사,
행사,에 참여하다,명사,
허리,신체,명사,
헤어지다,친구와,동사,
헬스클럽,에서 운동하다,명사,
혀,신체,명사,
현금,을 인출하다,명사,
현재,현재 하는 일,명사/부사,
형,가족,명사,
형제,아들 삼 형제,명사,
호,사월 호 잡지,의존명사,
호랑이,동물,명사,
호수,가 맑다,명사,
호텔,에 묵다,명사,
혹시,만일,부사,
혼자,살다,부사/명사,
홍차,를 마시다,명사,
화,가 나다,명사,
화가,직업,명사,
화나다,친구가,동사,
화내다,친구에게,동사,
화려하다,보석이,형용사,
화요일,요일,명사,
화장실,에 가다,명사,
화장품,을 바르다,명사,
환영,을 받다,명사,
환자,을 돌보다,명사,
환전,달러 환전,명사,
활발히,활발히 활동하다,부사,
회,여러 회,의존명사,
회사,에 다니다,명사,
회사원,직업,명사,
회색,색깔,명사,
회원,을 모집하다,명사,
회의,가 열리다,명사,
횡단보도,를 건너다,명사,
후,오 분 후,명사,
후배,영화계 후배,명사,
훌륭하다,작품이,형용사,
훨씬,훨씬 많다,부사,
휴가,를 가다,명사,
휴게실,에서 쉬다,명사,
휴대폰,으로 전화하다,명사,
휴일,에 쉬다,명사,
휴지,를 줍다,명사,
휴지통,에 버리다,명사,
흐르다,물이,동사,
흐리다,공기가,형용사,
흔들다,손을,동사,
흘리다,눈물을,동사,
희망,희망 사항,명사,
흰색,색깔,명사,
힘,이 세다,명사,
힘들다,일이,형용사,
