어휘,길잡이말,품사,
마침내,마침내 해내다 ,부사,
막,막 출발하다,부사,
막,막 쓰다,부사,
막내,로 태어나다,명사,
막다,귀를,동사,
막대기,로 치다,명사,
막상,막상 보니까,부사,
막연하다,앞날이,형용사,
막차,를 타다,명사,
만,만 주,명사/관형사,
만남,을 갖다,명사,
만만하다,상대가,형용사,
만원,을 이루다,명사,
만점,을 받다,명사,
만족,을 느끼다,명사,
만족감,이 들다,명사,
만족스럽다,결과가,형용사,
만화책,을 보다,명사,
많아지다,나이가,동사,
말기,임신 말기,명사,
말끔히,말끔히 닦다,부사,
말다,신문을,동사,
말다,국에 밥을,동사,
말다툼,이 생기다,명사,
말리다,싸움을,동사,
말리다,빨래를,동사,
말없이,말없이 사라지다,부사,
말투,가 거칠다,명사,
말하기,말하기 평가,명사,
맘,이 좋다,명사,
맘껏,맘껏 놀다,부사,
맘대로,맘대로 고르다,부사,
망가지다,자전거가,동사,
망설이다,잠시 망설이다,동사,
망치다,일을,동사,
망하다,나라가,동사,
맞다,손님을,동사,
맞다,매를,동사,
맞벌이,맞벌이 부부,명사,
맞서다,적과,동사,
맞은편,에 앉다,명사,
맞이하다,새해를,동사,
맞춤법,에 맞다,명사,
맞히다,정답을,동사,
맡기다,수리를,동사,
맡다,업무를,동사,
맡다,냄새를,동사,
매,를 맞다,명사,
매달다,문에,동사,
매달리다,철봉에 ,동사,
매력,을 느끼다,명사,
매번,매번 찾다,명사/부사,
매운맛,이 나다,명사,
매운탕,을 먹다,명사,
매장,을 열다,명사,
매점,을 운영하다,명사,
매진,이 되다,명사,
매체,대중 매체,명사,
맨,맨 꼭대기,관형사,
맨발,로 걷다,명사,
맺다,빗방울이,동사,
머리칼,을 자르다,명사,
머릿속,에 남아 있다,명사,
머무르다,호텔에서,동사,
머물다,휴게소에,동사,
머뭇거리다,말을,동사,
먹고살다,겨우 먹고 살다,동사,
먹이,를 주다,명사,
먹이다,밥을,동사,
먹히다,양이 늑대에게,동사,
먼지,를 닦다,명사,
멀미,가 나다,명사,
멀어지다,친구와,동사,
멀쩡하다,팔다리가,형용사,
멋대로,멋대로 살다,부사,
멋지다,경치가,형용사,
멍,이 들다,명사,
멍멍,멍멍 짖다,부사,
멎다,비바람이,동사,
메뉴판,에서 고르다,명사,
메달,을 따다,명사,
메모지,에 쓰다,명사,
메우다,구멍을,동사,
멜로디,가 아름답다,명사,
며느리,를 맞다,명사,
면,벽의 면,명사,
면담,을 요청하다,명사,
면도,를 하다,명사,
면적,이 넓다,명사,
면접,을 요구하다,명사,
면접관,이 질문하다,명사,
면하다,책임을,동사,
면허,를 따다,명사,
면허증,을 따다,명사,
멸치,를 볶다,명사,
명,작품명,명사,
명단,합격자 명단,명사,
명령,을 내리다,명사,
명예,를 지키다,명사,
명함,을 교환하다,명사,
명확하다,근거가,형용사,
몇몇,몇몇 사람,관형사/수사,
모,김 모 씨,대명사/관형사,
모금,모금 운동,명사,
모니터,를 보다,명사,
모델,을 개발하다,명사,
모래,모래 사막,명사,
모범,이 되다,명사,
모여들다,구름처럼,동사,
모자,가 닮다,명사,
모집,학생 모집,명사,
모처럼,모처럼 웃다,부사,
모험,을 즐기다,명사,
목,목요일,명사,
목구멍,이 아프다,명사,
목록,을 작성하다,명사,
목마르다,덥고 목마르다,형용사,
목사,가 설교하다,명사,
목숨,을 지키다 ,명사,
목적지,에 도착하다,명사,
목표,를 세우다,명사,
몫,을 챙기다,명사,
몰다,구석으로,동사,
몰라보다,몰라보게 변하다,동사,
몰래,몰래 도망가다,부사,
몰려들다,사람들이,동사,
몰려오다,피서객들이,동사,
몰리다,구석으로,동사,
몸매,가 좋다,명사,
몸무게,를 재다,명사,
몸살,이 나다,명사,
몸속,몸속의 피,명사,
몸짓,을 따라하다,명사,
몸통,이 크다,명사,
몹시,몹시 춥다,부사,
못,을 박다,명사,
못나다,못난 얼굴,형용사,
못되다,성격이,형용사,
못지않다,전문가 못지 않다,형용사,
몽땅,몽땅 쓰다,부사,
묘사,상황 묘사,명사,
무-,무감각,접사,
무관심,이 지나치다,명사,
무관하다,사건과,형용사,
무기,를 소지하다,명사,
무너지다,건물이,동사,
무늬,를 이루다,명사,
무대,로 나가다,명사,
무더위,가 꺾이다,명사,
무덤,을 파다,명사,
무덥다,날씨가,형용사,
무려,무려 배이다,부사,
무렵,저녁 무렵,의존명사,
무리,가 되다,명사,
무사히,무사히 돌아오다,부사,
무서워하다,사람을,동사,
무시,를 당하다,명사,
무역,무역 회사,명사,
무용,을 배우다,명사,
무의미,유의미,명사,
무조건,무조건 화를 내다,명사/부사,
무지개,가 뜨다,명사,
무책임,을 비난하다,명사,
묵다,호텔에서,동사,
묵묵히,묵묵히 일하다,부사,
묶다,끈을,동사,
묶이다,끈이,동사,
-문,기행문,접사,
문구점,에 가다,명사,
문득,문득 떠오르다,부사,
문명,고대 문명,명사,
문방구,에 가다,명사,
문법,을 배우다,명사,
문병,을 가다,명사,
문서,를 위조하다,명사,
문의,문의 전화,명사,
문자,문자 메시지,명사,
문장,을 쓰다,명사,
문제점,을 해결하다,명사,
문학,을 창작하다,명사,
문화재,를 보호하다,명사,
문화적,문화적 차이,관형사·명사,
묻다,때가,동사,
묻다,시체를,동사,
묻히다,손에 물을,동사,
묻히다,땅에,동사,
-물,농산물,접사,
물가,에 앉다,명사,
물가,가 비싸다,명사,
물감,으로 색칠하다,명사,
물결,이 잔잔하다,명사,
물기,가 마르다,명사,
물다,개가,동사,
물들다,단풍이,동사,
물러나다,뒤로,동사,
물러서다,뒤로,동사,
물리다,개에,동사,
물소리,가 나다,명사,
물속,에서 헤엄치다,명사,
물약,을 마시다,명사,
물음,에 답하다,명사,
물질,을 추구하다,명사,
물질적,물질적 보상,관형사·명사,
뭉치다,눈을,동사,
뭘,"뭘, 당연히 와야지",감탄사,
뮤지컬,을 보다,명사,
미국인,을 만나다,명사,
미끄럽다,길이,형용사,
미니,미니 자동차,명사,
미디어,영상 미디어,명사,
미련,을 버리다,명사,
미루다,내일로,동사,
미만,세 미만,명사,
미성년자,미성년자 관람 불가,명사,
미소,를 짓다,명사,
미술,을 배우다,명사,
미용사,가 되다,명사,
미움,이 쌓이다,명사,
미인,미인 대회,명사,
미장원,에서 머리를 하다,명사,
미지근하다,국물이,형용사,
미처,미처 못하다,부사,
미치다,정신이,동사,
미치다,영향을,동사,
미팅,을 하다,명사,
미혼,으로 지내다,명사,
민속놀이,를 하다,명사,
민족,단일 민족,명사,
민주주의,를 실현하다,명사,
믿음,이 생기다,명사,
밀리다,차가,동사,
밀리다,사람들에게,동사,
밀리미터,밀리미터,의존명사,
밉다,태도가,형용사,
및,설계 및 시공,부사,
밑바닥,이 드러나다,명사,
밑줄,을 치다,명사,
바,느낀,의존명사,
바가지,에 담다,명사,
바구니,에 담다,명사,
바늘,로 꿰매다,명사,
바닷물,이 출렁이다,명사,
바둑,을 두다,명사,
바람,간절한 바람,명사,
바람직하다,자세가,형용사,
바래다주다,집에,동사,
바로잡다,위치를,동사,
바르다,예의가,형용사,
바보,가 되다,명사,
바싹,바싹 마르다,부사,
바위,에 걸터앉다,명사,
바치다,제물을,동사,
바퀴,가 돌다,명사/의존명사,
바탕,을 이루다,명사,
박,박 일,의존명사,
박다,못을,동사,
박사,박사 학위,명사,
박스,를 열다,명사,
박히다,벽에 못이,동사,
반값,에 팔다,명사,
반기다,친구를,동사,
반납,반납 날짜,명사,
반달,이 뜨다,명사,
반대말,을 공부하다,명사,
반대쪽,으로 향하다,명사,
반말,을 하다,명사,
반면,반면에,명사,
반발,을 사다,명사,
반복,반복 연습,명사,
반성,자기 반성,명사,
반영,이 되다,명사,
반응,을 보이다,명사,
반장,을 뽑다,명사,
반죽,을 만들다,명사,
반짝거리다,보석이,동사,
반짝반짝,반짝반짝 빛나다,부사,
반짝이다,눈빛이,동사,
반창고,가 떨어지다,명사,
반팔,을 입다,명사,
반품,을 요구하다,명사,
반하다,첫눈에,동사,
받아들이다,기술을,동사,
받침,냄비 받침,명사,
발걸음,이 느리다,명사,
발견,새로운 발견,명사,
발급,카드 발급,명사,
발길,을 돌리다,명사,
발꿈치,를 들다,명사,
발끝,으로 서다,명사,
발달,이 빠르다,명사,
발등,을 다치다,명사,
발명,문자의 발명,명사,
발목,을 다치다,명사,
발생,사건 발생,명사,
발음,이 좋다,명사,
발자국,을 남기다,명사,
발전,경제 발전,명사,
발톱,을 깎다,명사,
발표,를 듣다,명사,
발표회,음악 발표회,명사,
발행,잡지 발행,명사,
밝혀내다,원인을,동사,
밝혀지다,빛으로,동사,
밝히다,전등을,동사,
밟다,브레이크를,동사,
밟히다,잔디가,동사,
밤,을 따다,명사,
밤낮,으로 일하다,명사/부사,
밤늦다,밤늦게 귀가하다,형용사,
밤새,밤새 일하다,명사,
밤새다,밤새도록 일하다,동사,
밤새우다,밤새워 일하다,동사,
밤색,밤색 머리카락,명사,
밤중,에 다니다,명사,
밥그릇,을 비우다,명사,
밥맛,이 좋다,명사,
밥솥,에 밥을 하다,명사,
방면,서울 방면,명사,
방바닥,에 눕다,명사,
방송사,에 근무하다,명사,
방식,생활 방식,명사,
방안,해결 방안,명사,
방울,이 맺히다,명사,
방지,사고 방지,명사,
방해,를 받다,명사,
배경,이 좋다,명사,
배고프다,배고프고 목마르다,형용사,
배구,배구 선수,명사,
배꼽,을 잡다,명사,
배낭,을 메다,명사,
배낭여행,을 떠나다,명사,
배다,냄새가,동사,
배려,세심한 배려,명사,
배부르다,배부르게 먹다,형용사,
배송,이 빠르다,명사,
배우자,를 만나다,명사,
배웅,을 나가다,명사,
배치,자리 배치,명사,
배터리,를 충전하다,명사,
배편,으로 보내다,명사,
백,에 넣다,명사,
뱃속,을 모르다,명사,
뱉다,침을,동사,
버섯,을 재배하다,명사,
버터,를 바르다,명사,
버튼,을 누르다,명사,
버티다,오기로,동사,
번갈다,번갈아 입다,동사,
번개,를 맞다,명사,
번거롭다,절차가,형용사,
번역,을 하다,명사,
번지,주소,명사,
번호표,를 받다,명사,
번화하다,거리가,형용사,
벌,에 쏘이다,명사,
벌,을 받다,명사,
벌금,을 부과하다,명사,
벌떡,벌떡 일어나다,부사,
벌레,를 잡다,명사,
벌리다,간격을,동사,
벌어지다,틈이,동사,
벌어지다,소동이,동사,
벌이다,사업을,동사,
범위,가 넓다,명사,
범인,을 체포하다,명사,
범죄,를 저지르다,명사,
법,을 지키다,명사/의존명사,
-법,교수법,접사,
법률,을 위반하다,명사,
법원,에 가다,명사,
법적,조치,관형사·명사,
법칙,을 지키다,명사,
벗기다,옷을,동사,
벗어나다,시내를,동사,
베개,를 베다,명사,
베란다,로 나가다,명사,
베풀다,연회를,동사,
벤치,에 앉다,명사,
벨,을 누르다,명사,
벨트,를 매다,명사,
벼,를 베다,명사,
벽시계,를 걸다,명사,
벽지,를 바르다,명사,
변경,계획 변경,명사,
변덕스럽다,성격이,형용사,
변동,이 심하다,명사,
변명,을 늘어놓다,명사,
변비,가 심하다,명사,
변화,를 겪다,명사,
별,별 볼 일,관형사,
-별,학년별,접사,
별다르다,별다른 방법,형용사,
별도,로 마련하다,명사,
별말씀,이 없으시다,명사,
별명,을 짓다,명사,
별일,별일 없다,명사,
병들다,늙고 병들다,동사,
병실,에 문병을 가다,명사,
보고,를 받다,명사,
보고서,를 작성하다,명사,
보관,냉장 보관,명사,
보급,기술 보급,명사,
보기,를 보이다,명사,
보너스,를 받다,명사,
보도,신문 보도,명사,
보람,을 느끼다,명사,
보름,정월 보름,명사,
보름달,이 뜨다,명사,
보리,를 재배하다,명사,
보리차,를 마시다,명사,
보물,을 찾다,명사,
보살피다,아이들을,동사,
보상,을 받다,명사,
보석,이 반짝이다,명사,
보수,를 받다,명사,
보안,을 유지하다,명사,
보완,문제점 보완,명사,
보장,을 받다,명사,
보전,생태계 보전,명사,
보조,를 받다,명사,
보존,보존 상태,명사,
보충,보충 수업,명사,
보행자,보행자 도로,명사,
보험,에 가입하다,명사,
보호,를 받다,명사,
복,을 받다,명사,
복도,로 나가다,명사,
복사,문서 복사,명사,
복사기,로 문서를 복사하다,명사,
복수,를 다짐하다,명사,
복숭아,를 먹다,명사,
복용,약물 복용,명사,
복통,으로 입원하다,명사,
볶음,볶음 멸치,명사,
본능,에 따르다,명사,
본래,부터 다르다,명사/부사,
본부,에서 일하다,명사,
본인,본인 명의,명사/대명사,
본질,을 파악하다,명사,
볼,이 통통하다,명사,
볼거리,가 많다,명사,
볼링,을 치다,명사,
볼일,이 생기다,명사,
봉사,봉사 활동,명사,
봉지,에 넣다,명사,
뵈다,어른을,동사,
부,각 부의 책임자,명사/의존명사,
부,를 누리다,명사,
부-,부정확,접사,
부근,학교 부근,명사,
부끄러움,을 타다,명사,
부끄러워하다,아이가,동사,
부담,을 하다,명사,
부담스럽다,호의가,형용사,
부대,육군 부대,명사,
부동산,에 투자하다,명사,
부딪치다,손바닥을,동사,
부딪히다,차에,동사,
부러워하다,성공을,동사,
부러지다,뼈가,동사,
부리다,멋을,동사,
부모,를 공경하다,명사,
부문,경제 부문,명사,
부분적,부분적 차이,관형사·명사,
부상,을 당하다,명사,
부서,를 옮기다,명사,
부서지다,문이,동사,
부수다,유리창을,동사,
부위,상처 부위,명사,
부인,중년 부인,명사,
부자,가 닮다,명사,
부작용,이 생기다,명사,
부잣집,으리으리한 부잣집,명사,
부정,을 저지르다,명사,
부정,긍정,명사,
부정적,부정적 태도,관형사·명사,
부정확,발음의 부정확,명사,
부족,을 지배하다,명사,
부주의,운전 부주의,명사,
부지런히,부지런히 일하다,부사,
부채,를 부치다,명사,
부처,를 따르다,명사,
부츠,를 신다,명사,
부친,모친,명사,
부품,을 생산하다,명사,
북,으로 향하다,명사,
북미,북미 지역,명사,
북부,북부 지방,명사,
분노,가 폭발하다,명사,
분단,국토 분단,명사,
분량,을 조절하다,명사,
분류,분류 기준,명사,
분리,쓰레기 분리 수거,명사,
분명,분명 맞다,부사,
분명히,분명히 들리다,부사,
분석,원인 분석,명사,
분수,를 모르다,명사,
분수,를 내뿜다,명사,
분실,분실 사고,명사,
분실물,을 찾다,명사,
분야,경제 분야,명사,
분포,인구의 분포,명사,
분필,로 쓰다,명사,
불-,불가능,접사,
불가,청소년 입장 불가,명사,
불가능,이 없다,명사,
불가피하다,선택이,형용사,
불교,를 믿다,명사,
불구하다,그럼에도 불구하고,동사,
불규칙,규칙,명사,
불균형,이 심해지다,명사,
불꽃,이 일어나다,명사,
불러일으키다,관심을,동사,
불리,유리,명사,
불리다,물에,동사,
불만,을 품다,명사,
불만족,을 나타내다,명사,
불만족스럽다,표정이,형용사,
불법,불법 주차,명사,
불빛,이 비치다,명사,
불어,로 말하다,명사,
불어오다,바람이,동사,
불완전,완전,명사,
불이익,을 당하다,명사,
불충분,충분,명사,
불친절,친절,명사,
불쾌,를 느끼다,명사,
불평,을 늘어놓다,명사,
불평등,을 낳다,명사,
불필요,필요,명사,
불행,을 느끼다,명사,
불확실,확실,명사,
붐비다,사람들로,동사,
붓다,얼굴이,동사,
붓다,물을,동사,
붙들다,팔을,동사,
붙잡다,치맛자락을,동사,
붙잡히다,범인이,동사,
뷔페,에서 밥을 먹다,명사,
비-,비공식,접사,
-비,휴가비,접사,
비결,을 공개하다,명사,
비교적,비교적 가깝다,부사/관형사·명사,
비극,이 일어나다,명사,
비기다,동점으로,동사,
비난,을 받다,명사,
비닐,로 싸다,명사,
비로소,비로소 깨닫다,부사,
비록,비록 가난하지만,부사,
비롯되다,경험에서,동사,
비롯하다,비롯한 일,동사,
비만,을 치료하다,명사,
비명,을 지르다,명사,
비밀번호,를 누르다,명사,
비바람,이 치다,명사,
비법,을 알려 주다,명사,
비비다,눈을,동사,
비상,비상 대책,명사,
비상구,로 대피하다,명사,
비용,이 들다,명사,
비우다,그릇을,동사,
비웃다,남의 의견을,동사,
비유,를 들다,명사,
비율,이 낮다,명사,
비자,를 신청하다,명사,
비중,이 높다,명사,
비추다,달빛이,동사,
비치다,햇빛이,동사,
비키다,자리를,동사,
비타민,을 섭취하다,명사,
비틀거리다,비틀거리며 걷다,동사,
비판,을 가하다,명사,
비판적,비판적 사고,관형사·명사,
비하다,비할 수 없다,동사,
비행,야간 비행,명사,
비행장,에 착륙하다,명사,
빈자리,에 앉다,명사,
빌다,소원을,동사,
빗,으로 빗다,명사,
빗길,에 미끄러지다,명사,
빗다,머리를,동사,
빗물,이 흐르다,명사,
빗방울,이 떨어지다,명사,
빚,을 갚다,명사,
빚다,도자기를,동사,
빛,이 나다,명사,
빛깔,이 곱다,명사,
빛나다,별빛이,동사,
빠뜨리다,바다에,동사,
빠져나가다,감옥에서,동사,
빠져나오다,몰래 빠져나오다,동사,
빠지다,앞니가,동사,
빠짐없이,빠짐없이 참석하다,부사,
빠트리다,물에,동사,
빨강,으로 칠하다,명사,
빨개지다,얼굴이,동사,
빨다,빨대로,동사,
빼놓다,전구를,동사,
빼앗기다,재산을,동사,
빼앗다,돈을,동사,
뺏다,돈을,동사,
뺨,을 때리다,명사,
뻗다,가지가,동사,
뼈,가 굵다,명사,
뽀뽀,를 하다,명사,
뽑히다,머리카락이,동사,
뿌리,를 자르다,명사,
뿌리다,빗방울이,동사,
뿌리치다,손을,동사,
삐다,발목을,동사,
-사,변호사,접사,
-사,신문사,접사,
-사,요리사,접사,
사건,이 발생하다,명사,
사고방식,이 다르다,명사,
사과,를 하다,명사,
사교적,사교적 성격,관형사·명사,
사기,를 치다,명사,
사나이,씩씩한 사나이,명사,
사내,사내 녀석,명사,
사냥,을 하다,명사,
사들이다,토지를,동사,
사라지다,회사가,동사,
사랑스럽다,아이가,형용사,
사례,를 들다,명사,
사로잡다,마음을,동사,
사립,사립 학교,명사,
사막,사막 지역,명사,
사망,사망 소식,명사,
사무,를 보다,명사,
사무소,를 열다,명사,
사무직,에 종사하다,명사,
사물,을 보다,명사,
사방,을 둘러보다,명사,
사상,사상 최초,명사,
사생활,을 간섭하다,명사,
사설,을 읽다,명사,
사소하다,문제가,형용사,
사업가,로 성공하다,명사,
사업자,사업자 등록,명사,
사연,이 복잡하다,명사,
사용료,휴대폰 사용료,명사,
사용법,을 설명하다,명사,
사용자,를 모집하다,명사,
사우나,를 하다,명사,
사위,를 보다,명사,
사이버,사이버 공간,명사,
사이좋다,사이좋게 지내다,형용사,
사이트,에 접속하다,명사,
사인,을 하다,동사,
사자,동물,명사,
사적,사적 생활,관형사·명사,
사전,을 찾다,명사,
사전,사전 준비,명사,
사정,이 좋다,명사,
사진관,에서 사진을 찍다,명사,
사진첩,에 사진을 끼우다,명사,
사촌,사촌 언니,명사,
사춘기,를 맞다,명사,
사태,를 해결하다,명사,
사투리,로 말하다,명사,
사표,를 내다,명사,
사항,주의 사항,명사,
사회,상류 사회,명사,
사회생활,에 적응하다,명사,
사회자,가 진행하다,명사,
사회적,사회적 문제,관형사·명사,
삭제,파일 삭제,명사,
산길,을 오르다,명사,
산꼭대기,에 오르다,명사,
산불,이 나다,명사,
산속,을 헤매다,명사,
산업,자동차 산업,명사,
살리다,목숨을,동사,
살림,을 차리다,명사,
살아가다,하루하루 살아가다,동사,
살아나다,겨우 살아나다,동사,
살아남다,전쟁에서,동사,
살아오다,간신히 살아오다,동사,
살인,을 저지르다,명사,
살짝,살짝 빠져나가다,부사,
살찌다,몸이,동사,
살펴보다,주위를,동사,
살피다,주위를,동사,
삶,을 누리다,명사,
삶다,국수를,동사,
삼다,며느리로,동사,
삼키다,침을,동사,
상,으로 매기다,명사,
상,을 차리다,명사,
상가,에서 사다,명사,
상관,이 없다,명사,
상관없다,상관없는 문제,형용사,
상관없이,나이에 상관없이,부사,
상금,을 받다,명사,
상담,을 받다,명사,
상담실,고객 상담실,명사,
상담원,으로 일하다,명사,
상당하다,실력이,형용사,
상당히,상당히 잘하다,부사,
상대,를 대하다,명사,
상대방,을 바라보다,명사,
상대적,상대적 평가,관형사·명사,
상대편,을 이해하다,명사,
상류,에서 떠내려오다,명사,
상반기,상반기 소득,명사,
상사,직장 상사,명사,
상상,을 뛰어넘다,명사,
상상력,이 풍부하다,명사,
상승,물가 상승,명사,
상식,에 어긋나다,명사,
상업,에 종사하다,명사,
상영,영화 상영,명사,
상점,을 운영하다,명사,
상징,이 되다,명사,
상쾌하다,마음이,형용사,
상태,를 점검하다,명사,
상하,를 바꾸다,명사,
상하다,음식이,동사,
상황,이 불리하다,명사,
새,하루 새,명사,
새기다,도장을,동사,
새끼,를 낳다,명사,
새다,비가,동사,
새다,날이,동사,
새로이,새로이 시작하다,부사,
새삼,새삼 느끼다,부사,
새엄마,를 맞이하다,명사,
새우,를 먹다,명사,
새우다,밤을,동사,
새집,으로 이사하다,명사,
색다르다,기분이,형용사,
샌들,을 신다,명사,
-생,년생,접사,
-생,실습생,접사,
생겨나다,문제가,동사,
생기,가 넘치다,명사,
생김새,가 예쁘다,명사,
생년월일,을 기록하다,명사,
생략,을 하다,명사,
생머리,를 빗다,명사,
생명,을 건지다,명사,
생방송,으로 방영되다,명사,
생산,대량 생산,명사,
생생하다,기억이,형용사,
생존,을 위협하다,명사,
생활비,를 벌다,명사,
생활용품,을 구입하다,명사,
샴푸,로 머리를 감다,명사,
서,로 이동하다,명사,
서넛,서넛이랑,수사,
서늘하다,밤공기가,형용사,
서럽다,마음이,형용사,
서명,을 받다,명사,
서부,서부 지역,명사,
서서히,서서히 나타나다,부사,
서양인,동양인,명사,
서운하다,마음이,형용사,
서적,을 읽다,명사,
서투르다,영어가,형용사,
서툴다,영어가,형용사,
석유,석유 산업,명사,
섞이다,냄새가,동사,
선,을 긋다,명사,
선거,대통령 선거,명사,
선글라스,를 끼다,명사,
선약,이 있다,명사,
선전,을 보다,명사,
선정,수상자 선정,명사,
선진,선진 국가,명사,
선진국,으로 성장하다,명사,
선호,선호 직업,명사,
설,을 맞이하다,명사,
설득,을 당하다,명사,
설레다,가슴이,동사,
설립,회사 설립,명사,
설마,설마 진심은 아니지?,부사,
설명서,를 읽다,명사,
설문,에 답하다,명사,
설문지,를 작성하다,명사,
설사,가 멈추다,명사,
설정,상황 설정,명사,
설치,인터넷 설치,명사,
섭씨,섭씨 영 도,명사,
-성,인간성,접사,
성공적,성공적 삶,관형사·명사,
성과,를 올리다,명사,
성당,에 다니다,명사,
성립,성립 조건,동사,
성명,을 부르다,명사,
성별,을 구분하다,명사,
성숙,이 늦다,명사,
성실,불성실,명사,
성인,성인 여성,명사,
성장,이 멈추다,명사,
성적표,를 받다,명사,
성질,이 못되다,명사,
세계적,세계적 예술가,관형사·명사,
세계화,세계화 시대,명사,
세금,을 내다,명사,
세기,세기,명사,
세다,수를,동사,
세대,가 다르다,명사,
세대,가 줄다,명사,
세력,을 확장하다,명사,
세련되다,옷차림이,형용사,
세로,가로,명사,
세모,를 만들다,명사,
세미나,를 열다,명사,
세월,이 흐르다,명사,
세일,세일 가격,명사,
세제,로 닦아내다,명사,
세차,자동 세차,명사,
세탁물,을 맡기다,명사,
세트,로 구입하다,명사,
센티,센티,의존명사,
셔츠,를 입다,명사,
소-,소규모,접사,
-소,연구소,접사,
소감,을 말하다,명사,
소개팅,에서 만나다,명사,
소규모,소규모 집단,명사,
소극장,에서 공연하다,명사,
소극적,소극적 성격,관형사,
소금물,에 절이다,명사,
소나기,가 내리다,명사,
소나무,가 무성하다,명사,
소녀,어린 소녀,명사,
소년,소년 시절,명사,
소독,상처 소독,명사,
소독약,을 바르다,명사,
소득,이 많다,명사,
소리치다,크게 소리치다,동사,
소망,을 이루다,명사,
소매,가 길다,명사,
소문,이 돌다,명사,
소문나다,사업가로,동사,
소방관,이 출동하다,명사,
소방서,에 신고하다,명사,
소방차,가 출동하다,명사,
소변,이 마렵다,명사,
소비,가 늘다,명사,
소비자,소비자 물가,명사,
소설가,로 알려지다,명사,
소설책,을 읽다,명사,
소수,에 불과하다,명사,
소스,를 뿌리다,명사,
소시지,를 먹다,명사,
소아과,에서 진찰 받다,명사,
소요,소요 시간,명사,
소용,이 없다,명사,
소용없다,아무 소용없다,형용사,
소원,을 빌다,명사,
소유,개인 소유,명사,
소음,을 줄이다,명사,
소재,소재로 삼다,명사,
소중히,소중히 여기다,부사,
소지품,을 보관하다,명사,
소형,소형 자동차,명사,
소홀하다,일에,형용사,
소화,를 돕다,명사,
속눈썹,이 길다,명사,
속다,거짓말에,동사,
속담,을 인용하다,명사,
속마음,을 털어 놓다,명사,
속상하다,마음이,형용사,
속이다,친구를,동사,
속하다,모임에,동사,
손가방,을 들다,명사,
손길,을 내밀다,명사,
손끝,에 닿다,명사,
손등,으로 닦다,명사,
손목,에 시계를 차다,명사,
손목시계,를 차다,명사,
손발,이 저리다,명사,
손뼉,을 치다,명사,
손쉽다,손쉽게 끝내다,형용사,
손자,를 돌보다,명사,
손잡다,서로 손잡다,동사,
손잡이,를 잡다,명사,
손질,머리 손질,명사,
손톱,을 깎다,명사,
손해,를 입히다,명사,
솔직하다,성격이,형용사,
솔직히,솔직히 말하다,부사,
솜씨,가 좋다,명사,
솟다,물가가,동사,
송별회,를 열다,명사,
송아지,를 키우다,명사,
송이,가 맺히다,명사,
쇠,가 녹슬다,명사,
쇠고기,를 굽다,명사,
쇼,를 보다,명사,
쇼핑몰,을 운영하다,명사,
쇼핑센터,에서 사다,명사,
수,수요일,명사,
수년,이 흐르다,명사,
수다,를 떨다,명사,
수단,이 좋다,명사,
수도,수도를 놓다,명사,
수도,를 정하다,명사,
수도권,에 거주하다,명사,
수도꼭지,를 잠그다,명사,
수돗물,을 마시다,명사,
수동적,수동적 자세,관형사·명사,
수량,이 모자라다,명사,
수리,를 맡기다,명사,
수리비,를 내다,명사,
수만,수만 원,수사·관형사,
수많다,수많은 사람,형용사,
수면,을 방해하다,명사,
수면제,를 먹다,명사,
수명,이 길다,명사,
수백,수백 마리,수사·관형사,
수사,경찰 수가,명사,
수상,으로 뽑히다,명사,
수선,을 맡기다,명사,
수속,을 밟다,명사,
수수께끼,를 풀다,명사,
수수료,를 내다,명사,
수시로,수시로 열다,부사,
수십,수십 개,수사·관형사,
수없이,수없이 많다,부사,
수요,가 늘다,명사,
수용,조건 수용,명사,
수입,이 많다,명사,
수입,수출,명사,
수입품,수출품,명사,
수정,계획 수정,명사,
수준,이 높다,명사,
수집,우표 수집,명사,
수천,수천 명,수사·관형사,
수출,수입,명사,
수표,를 발행하다,명사,
수학,을 가르치다,명사,
수행,업무 수행,명사,
숙녀,로 자라다,명사,
숙박,숙박 시설,명사,
숙박비,를 지불하다,명사,
숙소,에 머물다,명사,
숙이다,고개를,동사,
순간,순간 놀라다,명사,
순간적,순간적 느낌,관형사·명사,
순수하다,마음이,형용사,
순식간,순식간에 사라지다,명사,
순위,를 정하다,명사,
순진하다,어린아이처럼,형용사,
순하다,사람이,형용사,
술병,을 비우다,명사,
술자리,에 모이다,명사,
술잔,을 돌리다,명사,
숨,을 쉬다,명사,
숨기다,물건을,동사,
숨다,산 속으로,동사,
숨소리,가 고르다,명사,
숨지다,사고로,동사,
숲,이 우거지다,명사,
쉬다,목이,동사,
쉿,쉿! 조용히 해 봐,감탄사,
슈퍼,에서 사다,명사,
스님,을 모시다,명사,
-스럽다,자랑스럽다,접사,
스무째,스무째 날,수사·관형사/명사,
스위치,를 켜다,명사,
스치다,옷깃이,동사,
스커트,를 입다,명사,
스케줄,을 짜다,명사,
스타일,머리의,명사,
스타킹,을 신다,명사,
스튜디오,녹음 스튜디오,명사,
슬리퍼,를 신다,명사,
슬쩍,슬쩍 묻다,부사,
습기,를 제거하다,명사,
습도,가 높다,명사,
습하다,공기가,형용사,
승객,을 태우다,명사,
승낙,을 받다,명사,
승리,를 얻다,명사,
승무원,비행기 승무원,명사,
승용차,를 운전하다,명사,
승진,승진 시험,명사,
승차,승차 거부,명사,
승차권,을 끊다,명사,
